cty_number,cty_name,fips_code,fips_cty,public_health,health_service
71,El Paso,48141,141,10,9/10
72,Erath,48143,143,3,2/3
73,Falls,48145,145,7,7
74,Fannin,48147,147,3,2/3
75,Fayette,48149,149,7,7
76,Fisher,48151,151,2,2/3
77,Floyd,48153,153,1,1
78,Foard,48155,155,2,2/3
79,Fort Bend,48157,157,6,6/5S
80,Franklin,48159,159,4,4/5N
81,Freestone,48161,161,7,7
82,Frio,48163,163,8,8
83,Gaines,48165,165,9,9/10
84,Galveston,48167,167,6,6/5S
85,Garza,48169,169,1,1
86,Gillespie,48171,171,8,8
87,Glasscock,48173,173,9,9/10
88,Goliad,48175,175,8,8
89,Gonzales,48177,177,8,8
90,Gray,48179,179,1,1
